strain,sample,time,dose,GENE_SYMBOL,gene_expression
HW,WW32,19,1000,Cxcr7,25.89852538
HW,WW32,19,1000,Col18a1,817.96176
HW,WW32,19,1000,Cyb5a,38581.24908
HW,WW32,19,1000,Cyp1a1,81019.22024
HW,WW32,19,1000,Cyp1a2,457987.3647
HW,WW32,19,1000,Cyp1b1,2324.392653
HW,WW33,19,3000,Ahrr,41.73201907
HW,WW33,19,3000,Aldh3a1,10520.50739
HW,WW33,19,3000,Bbs2,107.6955331
HW,WW33,19,3000,Ccbl1,818.4860515
HW,WW33,19,3000,Cxcr7,28.27007744
HW,WW33,19,3000,Col18a1,860.2180706
HW,WW33,19,3000,Cyb5a,38773.0843
HW,WW33,19,3000,Cyp1a1,84660.80476
HW,WW33,19,3000,Cyp1a2,413428.3434
HW,WW33,19,3000,Cyp1b1,791.5621683
HW,WW34,19,3000,Ahrr,533.7890001
HW,WW34,19,3000,Aldh3a1,23907.73268
HW,WW34,19,3000,Bbs2,216.522862
HW,WW34,19,3000,Ccbl1,2354.686124
HW,WW34,19,3000,Cxcr7,87.2105972
HW,WW34,19,3000,Col18a1,2515.57464
HW,WW34,19,3000,Cyb5a,62878.84058
HW,WW34,19,3000,Cyp1a1,173624.27
HW,WW34,19,3000,Cyp1a2,1118997.669
HW,WW34,19,3000,Cyp1b1,24934.71264
HW,WW35,19,3000,Ahrr,53.93293434
HW,WW35,19,3000,Aldh3a1,24715.11289
HW,WW35,19,3000,Bbs2,172.8619691
HW,WW35,19,3000,Ccbl1,1584.798532
HW,WW35,19,3000,Cxcr7,44.25266408
HW,WW35,19,3000,Col18a1,1103.55081
HW,WW35,19,3000,Cyb5a,53406.05106
